store_name,url,instagram
드레스업,www.dressupp.net,no_instagram
하이애니,www.high-eny.co.kr,higheny_official
정마담,www.jungmadam.co.kr,no_instagram
블랙얼반,www.blackurban.co.kr,blackurban.official
티라미슈 패션소호,www.tiramisustyle.com,tiramisustyle_official
바이선,www.by-sun.com,bysun_official
컨택유,www.contagyou.co.kr,no_instagram
어리틀빗,www.alittle-b.com,_alittlebeat
로즈팩토리,www.rose-petal.co.kr,8_jjini
썸데이이프,www.somedayif.com,"somedayif_,someday_if"
허그와이,www.hugwhy.com,hugwhy_official
모어데이,www.moreday.kr,no_instagram
그레이마돈나,www.graymadonna.com,graymadonna
우바샵,www.uba.co.kr,can not load
러블리쌤,www.lovelyssam.com,"lovelyssam_daily,_jeeunn"
선데이업,www.sundayup.co.kr,"sundayupp,_hesney"
트렁크쇼,www.trunkshow.co.kr,trunkshow_official
달리샵,www.darllyshop.co.kr,darllyshop.co.kr
달트,www.daltt.co.kr,daltt_official
유니크온,www.uniqueon.co.kr,uniqueon91
블랙핏,www.blackfit.com,no_instagram
더코코,www.thecocomj.co.kr,cocomj27
인스토어,www.instoremall.co.kr,no_instagram
더모드,www.themode.kr,themode_unni
수아르,www.soo-a.co.kr,soir_82
더실루엣,www.desilhouette.co.kr,sie___official
폴샵,www.paulshop.com,can not load
수이디,www.su-oo.com,no_instagram
쿠키마루,www.cookiemaru.kr,cookiemaru
메리엘유,www.merielu.com,can not load
앨리스루루,www.alicelulu.com,no_instagram
에피스걸,www.epicegirls.com,my_epicegirls
시크드,www.chic-de.com,no_instagram
나인그랩,www.9grab.com,no_instagram
라두나,www.la-duna.co.kr,dunamandu
비숍,www.vi-shop.kr,"vi_shop_official,vi_shop__"
바비앤펌킨,www.babinpumkin.com,babinpumkin
스프링콤마,www.springcomma.com,springcomma
더데이즈,www.thedaze.kr,no_instagram
꾸미,www.kkuumi.com,no_instagram
위드이픈,www.withipun.co.kr,withipun_official
달콤제이,www.dalcom-j.com,can not load
데일르,www.daillue.com,no_instagram
조이유,www.joyu.co.kr,joy_you_
