store_name,age,info,url,instagram,sta1_shop_url
나크21,"20대,30대","빅사이즈,페미닌",http://www.mediacategory.com/servlet/drc,no_instagram,https://www.sta1.com/shops/4745?shopType=S&gndr=F
언더비,20대,"러블리,모던시크",http://www.under-vi.com/,undervi_official,https://www.sta1.com/shops/2743?shopType=S&gndr=F
엔비룩,"10대,20대","러블리,십대쇼핑몰",http://envylook.com,envylook_,https://www.sta1.com/shops/1060?shopType=S&gndr=F
피그먼트,"20대,30대","모던시크,심플베이직",http://pigment.co.kr/,pigment__official,https://www.sta1.com/shops/2936?shopType=S&gndr=F
투엘브,"20대,30대","모던시크,유니크",http://2lve12.com,2lve12,https://www.sta1.com/shops/2703?shopType=S&gndr=F
트왕,"20대,30대","유니크,심플베이직",http://www.twang.co.kr/,twang.co.kr,https://www.sta1.com/shops/1418?shopType=S&gndr=F
비바문,"20대,30대","러블리,모던시크",http://vivamoon.co.kr,vivamoon,https://www.sta1.com/shops/4288?shopType=S&gndr=F
인디브랜드,30대,"미시스타일,심플베이직",http://www.indibrand.co.kr,indibrand_official,https://www.sta1.com/shops/1124?shopType=S&gndr=F
쉬즈굿닷컴,"20대,30대","럭셔리·명품,페미닌",http://www.shezgood.com,shezgood_official,https://www.sta1.com/shops/892?shopType=S&gndr=F
써니11,30대,"미시스타일,심플베이직",http://www.sunny11.com/,no_instagram,https://www.sta1.com/shops/2911?shopType=S&gndr=F
비키니밴더,"20대,30대",커플룩·비치룩,http://www.vikinivender.com/,vikinivender,https://www.sta1.com/shops/784?shopType=S&gndr=F
업타운걸,"20대,30대","모던시크,유니크",http://utg.kr/,heejaeholic,https://www.sta1.com/shops/156?shopType=S&gndr=F
슈마루,"10대,20대,30대",슈즈,http://www.shoemaru.com,shoemaru,https://www.sta1.com/shops/1770?shopType=S&gndr=F
와니와니,30대,"미시스타일,빅사이즈",http://waniwani.co.kr/,waniwani_6699,https://www.sta1.com/shops/4639?shopType=S&gndr=F
록시걸,"20대,30대",커플룩·비치룩,http://www.roxygirl.tv/,roxygirlkorea,https://www.sta1.com/shops/2839?shopType=S&gndr=F
바이로그인,30대,"미시스타일,심플베이직",http://bylogin.co.kr/,no_instagram,https://www.sta1.com/shops/3003?shopType=S&gndr=F
빌드,30대,"미시스타일,페미닌",http://www.build.co.kr/,build_official,https://www.sta1.com/shops/632?shopType=S&gndr=F
45번가,30대,"럭셔리·명품,유니크",http://www.45th.co.kr/,45th_official,https://www.sta1.com/shops/243?shopType=S&gndr=F
